,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
G_temp_sup-G_T_transv R,0.960061519833403,0.9738407920630997,0.9395833435630967,0.8973149357798301,0.0624777568371441,0.02430291864974321,0.03956290236936497,0.06582038781569095
G_temp_sup-Lateral L,0.9674903505021364,0.9650779799313312,0.9256358465380239,0.9155754764916678,0.05247993592220899,0.02725534888039952,0.03943608707736804,0.05623152766429069
G_temp_sup-Lateral R,0.9644155459094901,0.9664901017551986,0.9486895211013794,0.9039591644002881,0.05291771974863157,0.029573146815930835,0.03464842181588824,0.06599793826889759
G_temp_sup-Plan_polar L,0.9731767043008509,0.9806729583023198,0.9439542450663324,0.9262299011421408,0.04234504366057084,0.02042543165617925,0.05353732791533623,0.05393878556781697
G_temp_sup-Plan_polar R,0.9732725778589442,0.9818396833473291,0.9486579370685002,0.9262828298135539,0.042798811511787924,0.015383183886257056,0.04468015693683014,0.05703071953328038
G_temp_sup-Plan_tempo L,0.9283138225900371,0.9307135812883308,0.8768791031810881,0.8122441258103993,0.10721198363374854,0.09969911221883541,0.08894182287455428,0.12046412069500745
G_temp_sup-Plan_tempo R,0.9488439342548506,0.9609729377898862,0.9130985207723172,0.8543245539133907,0.0810188043753913,0.039041703082151755,0.06708058335189068,0.08900258901065758
G_temporal_inf L,0.9583032245653136,0.9599527713075034,0.9135970777743972,0.8912114835981949,0.06540037849761068,0.04421254387743719,0.05128959597637194,0.07763510488619295
G_temporal_inf R,0.9566998380252675,0.9728728837007488,0.9310837876656277,0.8870687369795383,0.07095213614605507,0.02002671193482278,0.05516636537548189,0.0787680739084948
G_temporal_middle L,0.9634794792346775,0.9672539673525612,0.9304532002471257,0.9017846088603123,0.055403374861963055,0.029238051648614767,0.053059326851869024,0.06889830426099988
G_temporal_middle R,0.965839107964429,0.9725355456759246,0.9323432172362409,0.9065767738441431,0.048417321497946246,0.027524213755485215,0.05592371086907757,0.06426625873628829
Lat_Fis-ant-Horizont L,0.981680195741256,0.9809334609097475,0.9340945652434129,0.944126777673853,0.027496454031391847,0.01868474414103577,0.09337599143562192,0.050838641812593524
Lat_Fis-ant-Horizont R,0.9762213219803211,0.9767414933041493,0.9483417057269686,0.9371041154911119,0.036549532125045525,0.02140357982337844,0.07465112772559045,0.05621712202821744
Lat_Fis-ant-Vertical L,0.9726540940836524,0.9739929651676243,0.9330197685481709,0.9293881475062938,0.04393080329887153,0.029839247075737037,0.0712549703987086,0.05301164351694044
Lat_Fis-ant-Vertical R,0.9735091697547326,0.9733451500000442,0.9541284423983212,0.927699723719235,0.04079977452248973,0.025602291798967933,0.044262701427205016,0.05511150211768384
Lat_Fis-post L,0.9272611448993112,0.9300211996325098,0.853914145781044,0.8124781205472026,0.10588539296999537,0.10375907409612888,0.09199573284569361,0.1232067269574212
Lat_Fis-post R,0.9409732752925852,0.9482964891666537,0.9077382863271655,0.8376678211891359,0.08791796055690787,0.06292677147331319,0.05632593725676309,0.1055545163436617
Pole_occipital L,0.9268760993261946,0.9512919139301065,0.8559567973117309,0.8240675917883302,0.12056003752953337,0.049650037956821394,0.08508951272049052,0.12351364150504737
Pole_occipital R,0.9295086991034557,0.9406779028985499,0.8698730521841127,0.8083872267032162,0.1152887900254105,0.042551465246547134,0.10170701100012693,0.13225267726991183
Pole_temporal L,0.977505995838217,0.9825045691713117,0.9538711043376049,0.9434657042051802,0.03180589691164597,0.015265758734775802,0.030575880328076357,0.03801890890614792
Pole_temporal R,0.9763110086664447,0.9813209633555652,0.9462770841948847,0.9402813876973694,0.03407625849741856,0.012227121296311863,0.06670607290443346,0.04910130838796591
S_calcarine L,0.94350253984316,0.9670382963338381,0.9109442604062513,0.8523334167422104,0.09261372845587079,0.026274517613920467,0.06276553980298256,0.0985704267176884
S_calcarine R,0.9504029802975458,0.9686396025520205,0.8953003046386585,0.8626865230368317,0.07668208275495006,0.02062814049256268,0.07481413969632429,0.09451726444226996
S_central L,0.9350170996743802,0.9339584522304815,0.8852938833682413,0.8313285852193828,0.09845413039268237,0.07239641596922951,0.0786809851856103,0.10968785960856899
S_central R,0.9336927761867657,0.9450157337591106,0.8944615200338473,0.8382111417241791,0.09208479451665787,0.07726092847174909,0.07573472961673809,0.0968882577931766
S_cingul-Marginalis L,0.9491995561306018,0.9551681946716929,0.9295694961956009,0.8629924742697697,0.07940570041948439,0.039066589735469,0.04911753445597885,0.10079673001388793
S_cingul-Marginalis R,0.945479845752486,0.9442866315004413,0.9241372035210743,0.8515441403477207,0.08061116600894354,0.04531666696675741,0.05145261757485469,0.10926674145121514
S_circular_insula_ant L,0.9792608440326278,0.97520730221135,0.9459465952354582,0.9392967293702288,0.030501948171424077,0.023051782522179952,0.07637855789540722,0.05133984444671275
S_circular_insula_ant R,0.980141453121666,0.9797191497722358,0.9563854215959621,0.9480099579843609,0.027341432283041,0.020224435997612783,0.055922575246304354,0.040750533133342724
