gene,EntrezID,p_value,loading
WDR55,54853,0.044,0.415417104959488
GMPS,8833,0.094,0.415460020303726
APIP,51074,0.045,0.415618479251862
HDDC3,374659,0.01,0.415625035762787
TAF1D,79101,0.088,0.416206330060959
CMYA5,202333,0.049,0.416244804859161
TRNP1,388610,0.21,0.416416585445404
MAPK4,5596,0.002,0.41642102599144
PECR,55825,0.169,0.416433840990067
ZFP69B,0,0.134,0.416441351175308
UBE4B,10277,0.111,0.416632652282715
HYLS1,219844,0.057,0.416666269302368
RARB,5915,0.026,0.416713982820511
TEX264,51368,0.05,0.416797578334808
CRTAC1,55118,0.052,0.417124599218369
NRIP2,83714,0.008,0.417130500078201
PLEKHA1,59338,0.009,0.417314320802689
FBXL17,64839,0.01,0.417537689208984
NLN,57486,0.025,0.417648583650589
ZNF358,140467,0.029,0.417764395475388
ZNF670,93474,0.26,0.417924880981445
NEB,4703,0.092,0.417955726385117
PRC1,9055,0.093,0.417966961860657
FKBP11,51303,0.134,0.41822612285614
SLC29A2,3177,0.019,0.418391853570938
PRR16,51334,0.116,0.41849958896637
PLA2G5,5322,0.054,0.418580532073975
FHL2,2274,0.003,0.418614715337753
BRINP1,0,0.139,0.418614983558655
MROH6,0,0.117,0.418646484613419
ATG16L2,89849,0.07,0.418649911880493
LINC01106,0,0.086,0.418707400560379
