,values,TypeCorr,TwinType,FreqBand
268,0.654249493598278,Crosscorr,DZ,THETA
269,0.0378230891149256,Crosscorr,NT,THETA
270,0.9810852716277992,Autocorr,MZ,ALPHA
271,0.8516509212064425,Autocorr,DZ,ALPHA
272,0.2315001081562801,Autocorr,NT,ALPHA
273,0.8755381317856182,Crosscorr,MZ,ALPHA
274,0.844124663716803,Crosscorr,DZ,ALPHA
275,0.4817047516484336,Crosscorr,NT,ALPHA
276,0.9865994791132384,Autocorr,MZ,BETA
277,0.8676440145761459,Autocorr,DZ,BETA
278,0.5328099721584179,Autocorr,NT,BETA
279,0.9213664969489274,Crosscorr,MZ,BETA
280,0.9129247506372544,Crosscorr,DZ,BETA
281,0.8235207286213077,Crosscorr,NT,BETA
282,0.970236744476439,Autocorr,MZ,GAMMA
283,0.952585439710051,Autocorr,DZ,GAMMA
284,0.6107254575598617,Autocorr,NT,GAMMA
285,0.9463877730640669,Crosscorr,MZ,GAMMA
286,0.925450878717248,Crosscorr,DZ,GAMMA
287,0.924826231259778,Crosscorr,NT,GAMMA
288,0.9776999038278996,Autocorr,MZ,HIGH GAMMA
289,0.9862777480252848,Autocorr,DZ,HIGH GAMMA
290,0.7346510674677456,Autocorr,NT,HIGH GAMMA
291,0.958850932170754,Crosscorr,MZ,HIGH GAMMA
292,0.9538147554218936,Crosscorr,DZ,HIGH GAMMA
293,0.9448850395673738,Crosscorr,NT,HIGH GAMMA
294,0.9930481106371756,Autocorr,MZ,BROADBAND
295,0.9952130521173256,Autocorr,DZ,BROADBAND
296,0.9787325296455854,Autocorr,NT,BROADBAND
297,0.9950700690319384,Crosscorr,MZ,BROADBAND
298,0.9884486380721456,Crosscorr,DZ,BROADBAND
299,0.9813455841071356,Crosscorr,NT,BROADBAND
300,0.9731230691731874,Autocorr,MZ,DELTA
301,0.9622581101438724,Autocorr,DZ,DELTA
302,0.7228328506361783,Autocorr,NT,DELTA
303,0.969768417665822,Crosscorr,MZ,DELTA
304,0.9585221802894096,Crosscorr,DZ,DELTA
305,0.9641163930760726,Crosscorr,NT,DELTA
306,0.9085448858255564,Autocorr,MZ,THETA
307,0.8773092904381374,Autocorr,DZ,THETA
308,0.47400229771065,Autocorr,NT,THETA
309,0.9175922970501448,Crosscorr,MZ,THETA
310,0.6551135016592651,Crosscorr,DZ,THETA
311,0.6828425975182484,Crosscorr,NT,THETA
312,0.8663329760244813,Autocorr,MZ,ALPHA
313,0.9597033342104976,Autocorr,DZ,ALPHA
314,0.454750330475252,Autocorr,NT,ALPHA
315,0.9692389195443438,Crosscorr,MZ,ALPHA
316,0.7864151758911444,Crosscorr,DZ,ALPHA
317,0.7135865329451738,Crosscorr,NT,ALPHA
318,0.933910918813793,Autocorr,MZ,BETA
319,0.9472918403107358,Autocorr,DZ,BETA
320,0.8426092553642791,Autocorr,NT,BETA
321,0.9788809152891778,Crosscorr,MZ,BETA
322,0.8612774549005129,Crosscorr,DZ,BETA
323,0.8935311046669105,Crosscorr,NT,BETA
324,0.950118131014976,Autocorr,MZ,GAMMA
325,0.9442141779019884,Autocorr,DZ,GAMMA
326,0.8628852241096205,Autocorr,NT,GAMMA
327,0.9616538563729556,Crosscorr,MZ,GAMMA
328,0.9292104530282556,Crosscorr,DZ,GAMMA
329,0.9218064092127034,Crosscorr,NT,GAMMA
330,0.9709664465455866,Autocorr,MZ,HIGH GAMMA
331,0.9733918794124392,Autocorr,DZ,HIGH GAMMA
332,0.960154732759938,Autocorr,NT,HIGH GAMMA
333,0.9662773612183604,Crosscorr,MZ,HIGH GAMMA
